Happiness_Rank,State,Happiness_Score,Emotional_&_Physical_Well-Being_Rank,Work_Environment_Rank,Community_&_Environment_Rank,inv_hap_rank
43.0,Alabama,42.99,45.0,33.0,16.0,9
42.0,Alaska,44.24,36.0,41.0,48.0,10
27.0,Arizona,52.76,27.0,28.0,33.0,25
49.0,Arkansas,37.47,50.0,35.0,15.0,3
4.0,California,63.82,4.0,20.0,11.0,48
22.0,Colorado,53.99,17.0,17.0,47.0,30
11.0,Connecticut,60.71,5.0,46.0,17.0,41
26.0,Delaware,52.77,23.0,36.0,36.0,26
51.0,District of Columbia,,,,,1
34.0,Florida,50.55,21.0,42.0,49.0,18
35.0,Georgia,50.36,31.0,34.0,24.0,17
3.0,Hawaii,66.16,8.0,15.0,3.0,49
7.0,Idaho,62.51,28.0,2.0,2.0,45
25.0,Illinois,53.12,12.0,45.0,46.0,27
37.0,Indiana,49.08,37.0,22.0,31.0,15
15.0,Iowa,59.21,19.0,9.0,12.0,37
31.0,Kansas,51.01,30.0,18.0,40.0,21
45.0,Kentucky,41.05,47.0,32.0,26.0,7
48.0,Louisiana,38.88,44.0,50.0,28.0,4
20.0,Maine,54.04,29.0,14.0,21.0,32
8.0,Maryland,62.21,6.0,38.0,8.0,44
10.0,Massachusetts,61.8,3.0,13.0,43.0,42
30.0,Michigan,51.27,32.0,26.0,23.0,22
2.0,Minnesota,67.52,2.0,4.0,9.0,50
47.0,Mississippi,39.9,46.0,48.0,14.0,5
29.0,Missouri,51.46,35.0,19.0,13.0,23
32.0,Montana,51.01,39.0,3.0,41.0,20
14.0,Nebraska,59.54,10.0,7.0,35.0,38
23.0,Nevada,53.4,33.0,23.0,5.0,29
19.0,New Hampshire,56.61,20.0,10.0,38.0,33
9.0,New Jersey,61.93,1.0,39.0,22.0,43
41.0,New Mexico,47.02,41.0,47.0,10.0,11
18.0,New York,57.19,7.0,43.0,45.0,34
28.0,North Carolina,51.72,26.0,29.0,42.0,24
5.0,North Dakota,63.25,13.0,5.0,6.0,47
39.0,Ohio,47.84,40.0,37.0,25.0,13
46.0,Oklahoma,40.43,48.0,30.0,29.0,6
33.0,Oregon,51.0,38.0,11.0,27.0,19
24.0,Pennsylvania,53.18,24.0,40.0,30.0,28
21.0,Rhode Island,54.03,25.0,24.0,34.0,31
36.0,South Carolina,49.93,34.0,31.0,19.0,16
6.0,South Dakota,63.08,14.0,6.0,4.0,46
44.0,Tennessee,42.85,43.0,25.0,44.0,8
38.0,Texas,49.0,22.0,44.0,50.0,14
1.0,Utah,72.94,9.0,1.0,1.0,51
12.0,Vermont,60.1,15.0,16.0,7.0,40
17.0,Virginia,57.45,11.0,27.0,32.0,35
13.0,Washington,59.92,16.0,8.0,18.0,39
50.0,West Virginia,34.05,49.0,49.0,37.0,2
16.0,Wisconsin,58.66,18.0,12.0,20.0,36
40.0,Wyoming,47.22,42.0,21.0,39.0,12
